3.924,1.857
0.748,6.779
1.178,7.813
4.379,5.971
1.044,7.306
1.107,7.508
4.892,5.132
4.382,1.599
4.087,6.595
5.051,1.836
3.777,6.656
1.100,6.482
5.534,5.878
4.322,1.550
4.519,2.357
5.968,6.006
3.125,1.379
0.973,6.871
4.155,4.188
1.168,6.181
0.956,6.639
7.226,5.617
4.810,6.332
3.759,1.466
0.607,6.355
0.857,7.258
0.852,6.594
4.678,2.021
5.941,5.275
4.965,5.737
0.606,8.082
1.245,6.803
4.171,2.001
4.613,1.691
5.330,1.571
6.131,5.356
1.214,6.244
4.863,1.989
0.960,6.049
4.792,5.540
1.249,6.357
4.893,7.290
3.953,2.546
1.100,6.430
1.083,6.961
3.713,1.852
4.345,2.380
3.657,1.605
5.897,5.554
4.933,1.947
4.475,5.178
5.355,6.226
4.048,2.409
5.511,5.300
1.176,7.157
0.704,7.077
1.125,6.345
4.466,1.646
4.055,1.925
1.068,6.453
1.165,7.138
1.024,6.782
0.287,7.285
0.866,6.960
1.116,6.458
1.448,7.303
4.320,2.058
1.010,6.988
0.616,7.148
4.280,2.226
3.702,1.874
1.045,7.287
1.145,6.409
0.524,6.813
4.520,1.931
5.482,1.878
4.422,4.924
3.915,1.724
4.500,2.229
0.806,6.914
5.499,4.851
5.893,5.818
4.722,6.023
4.113,5.643
6.238,5.640
5.442,5.784
0.431,6.532
6.939,4.732
2.739,5.829
5.083,4.610
4.218,1.894
5.249,6.082
3.433,1.847
3.451,2.166
4.396,1.785
3.276,6.536
0.988,7.527
0.834,6.583
6.317,5.524
4.859,7.228
0.419,6.130
5.751,2.425
5.850,5.803
4.179,1.943
1.001,7.101
5.050,6.460
3.330,1.978
1.000,7.087
0.987,7.256
4.151,6.725
4.323,2.223
3.231,2.039
5.226,6.643
4.964,4.982
0.589,7.970
1.445,6.655
1.741,7.542
5.117,5.945
4.284,6.379
4.166,2.132
4.696,7.218
2.974,2.209
1.373,7.474
4.007,1.509
2.785,2.285
4.917,6.103
5.044,6.253
5.830,5.507
4.500,1.647
3.547,1.935
6.095,6.038
1.040,7.058
1.224,6.655
4.776,5.290
4.810,1.927
4.681,5.570
2.311,1.636
3.782,1.783
4.161,5.655
2.517,6.378
3.005,1.741
4.255,1.434
4.459,2.005
4.329,7.153
0.712,7.562
3.347,1.886
0.764,7.514
5.962,6.823
5.385,2.066
1.630,7.017
