59.000,56.000,48.000,5.000,55.000,8.000,82.000
29.000,28.000,48.000,5.000,5.000,42.000,5.000
47.000,28.000,48.000,5.000,56.000,2.000,25.000
53.000,42.000,48.000,5.000,16.000,29.000,39.000
24.000,34.000,48.000,5.000,38.000,3.000,4.000
68.000,82.000,48.000,5.000,38.000,65.000,56.000
34.000,51.000,48.000,5.000,67.000,9.000,9.000
52.000,36.000,48.000,5.000,41.000,28.000,38.000
37.000,44.000,48.000,5.000,42.000,39.000,47.000
67.000,61.000,48.000,5.000,51.000,37.000,38.000
32.000,33.000,48.000,5.000,6.000,6.000,2.000
35.000,34.000,48.000,5.000,46.000,3.000,27.000
67.000,81.000,48.000,5.000,54.000,49.000,23.000
63.000,83.000,48.000,5.000,4.000,39.000,19.000
31.000,36.000,48.000,5.000,58.000,94.000,94.000
49.000,43.000,48.000,5.000,49.000,3.000,4.000
74.000,74.000,48.000,5.000,31.000,53.000,52.000
37.000,5.000,48.000,5.000,42.000,36.000,45.000
47.000,46.000,48.000,5.000,62.000,74.000,77.000
27.000,35.000,48.000,5.000,51.000,77.000,79.000
69.000,59.000,48.000,5.000,77.000,39.000,21.000
88.000,42.000,48.000,5.000,52.000,73.000,75.000
52.000,44.000,48.000,5.000,37.000,36.000,42.000
18.000,3.000,48.000,5.000,46.000,24.000,35.000
6.000,61.000,48.000,5.000,54.000,67.000,71.000
63.000,49.000,48.000,5.000,79.000,45.000,28.000
41.000,43.000,48.000,5.000,45.000,31.000,41.000
63.000,42.000,48.000,5.000,48.000,77.000,8.000
21.000,34.000,48.000,5.000,51.000,28.000,39.000
85.000,53.000,48.000,5.000,53.000,52.000,35.000
51.000,5.000,48.000,5.000,46.000,32.000,35.000
37.000,47.000,48.000,5.000,39.000,76.000,79.000
69.000,39.000,48.000,5.000,57.000,76.000,79.000
43.000,37.000,48.000,5.000,53.000,35.000,44.000
43.000,4.000,48.000,5.000,39.000,28.000,39.000
25.000,26.000,48.000,5.000,39.000,32.000,42.000
63.000,47.000,48.000,5.000,51.000,82.000,84.000
36.000,56.000,48.000,5.000,43.000,45.000,53.000
81.000,52.000,48.000,5.000,57.000,78.000,8.000
51.000,49.000,48.000,5.000,53.000,14.000,26.000
71.000,71.000,48.000,5.000,4.000,54.000,39.000
63.000,65.000,48.000,5.000,39.000,44.000,35.000
71.000,57.000,48.000,5.000,48.000,35.000,32.000
49.000,29.000,48.000,5.000,56.000,24.000,35.000
73.000,26.000,48.000,5.000,57.000,75.000,78.000
56.000,54.000,48.000,5.000,43.000,37.000,3.000
11.000,5.000,48.000,5.000,58.000,72.000,68.000
31.000,47.000,48.000,5.000,29.000,28.000,39.000
6.000,5.000,1.000,5.000,54.000,77.000,8.000
43.000,4.000,48.000,5.000,58.000,75.000,78.000
68.000,67.000,48.000,5.000,49.000,4.000,34.000
58.000,6.000,48.000,5.000,59.000,73.000,76.000
63.000,57.000,48.000,5.000,49.000,7.000,2.000
63.000,1.000,48.000,5.000,35.000,51.000,49.000
41.000,51.000,48.000,5.000,58.000,2.000,31.000
5.000,37.000,48.000,5.000,66.000,64.000,69.000
